"filename", "language", "CSV", "Markdown", "JavaScript", "JSON", "graphql", "JavaScript JSX", "SCSS", "XML", "JSON with Comments", "Docker", "YAML", "comment", "blank", "total"
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\watch\watchComponents.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\watch\watchMF.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 38
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\watch\watchMR.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 103
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\watch\watchPage.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\lib\watch\watchSchema.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 25
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\start\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\user\changePassword.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\bin\user\create.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 77
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\package.json", "JSON", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 1, 129
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\postpublish.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\prepublish.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\auth\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\attributeGrid\headers\GroupHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\attributeGrid\rows\AttributeName.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\attributeGrid\rows\GroupRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 2, 5, 102
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\categoryGrid\rows\CategoryName.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\collectionGrid\rows\CollectionNameRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\collection\collectionEdit\AddProducts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 7, 52
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\category\CategoryItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 8, 134
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\category\CategoryTree.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 9, 93
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\category\CategoryTree.scss", "SCSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\media\ProductMediaManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 0, 5, 18, 256
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\media\ProductMediaManager.scss", "SCSS", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 1, 77
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\CreateVariant.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 4, 101
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\CreateVariantGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 1, 11, 147
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\EditVariant.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 5, 116
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\New.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 3, 63
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 5, 52
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\SearchModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 2, 8, 192
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\SubmitButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 6, 9, 133
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\Variant.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 2, 3, 74
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\VariantModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 2, 5, 146
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\VariantType.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\Variants.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 9, 183
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productEdit\variants\Variants.scss", "SCSS", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productGrid\rows\PriceRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productGrid\rows\ProductName.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productGrid\rows\QtyRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\catalog\productGrid\rows\ThumbnailRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 2, 9, 133
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\Card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\Dot.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\NavigationItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 4, 40
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\NavigationItem.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\NavigationItemGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 1, 4, 68
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\NavigationItemGroup.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 1, 33
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\PageHeading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 11, 95
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\PageHeading.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\Title.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\cmsPageGrid\rows\NameRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\cmsPageGrid\rows\PageName.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\navigation\DashboardMenuItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\cms\navigation\PagesMenuItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\customer\customerGrid\rows\CreateAt.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\customer\customerGrid\rows\CustomerName.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\Shipment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 2, 14, 244
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\items\ItemOptions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 2, 4, 54
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\items\ItemVariantOptions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 5, 38
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\items\Name.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 2, 4, 46
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\items\Price.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\items\Thumbnail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 4, 41
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\payment\Discount.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\payment\Shipping.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\payment\SubTotal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\payment\Tax.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\payment\Total.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderEdit\payment\Transactions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderGrid\headers\OrderDateColumnHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 6, 82
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderGrid\headers\PaymentStatusColumnHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 6, 64
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderGrid\headers\ShipmentStatusColumnHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 6, 64
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderGrid\rows\OrderNumberRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderGrid\rows\PaymentStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderGrid\rows\ShipmentStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\orderGrid\rows\TotalRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\shippingSetting\Method.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\shippingSetting\MethodForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 13, 256
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\shippingSetting\Methods.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 3, 71
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\shippingSetting\Zone.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 4, 118
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\shippingSetting\ZoneForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 8, 147
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\oms\shippingSetting\Zones.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\promotion\couponEdit\AttributeGroupConditionSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 10, 93
"c:\Users\asus\OneDrive\Desktop\Appetizer-canteen-management\packages\evershop\src\components\admin\promotion\couponEdit\AttributeGroupSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 16, 197
